cause,resolution,object_id,work_order_id,date_initiated,date_started,date_finished,asset_type,asset_group,description,priority,status,street_class,quantity,unit,address,district,x,y,project_name,flag_bad_date,work_type,is_active,age_days,days_to_finish,is_storm,needs_traffic_control,needs_nsp,waiting_tender,has_coords,tree_dist_m,match_conf,tree_id,species_common,dbh_class,wires,loc_gen,year_planted,is_ash,n_trees_25m,max_dbh_25m,any_wires_25m,any_ash_25m
,,78193,316313,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,11.0,SLABS,"CHEBUCTO RD, HALIFAX",8,-7080123.26,5566425.953,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,1.1276948662308235,high,TRE137367,American Elm,5,True,ROW,,False,8,6.0,True,False
,,78195,316315,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,33.0,SLABS,ROBIE ST (ST. ALBANS TO NORTH),8,-7079659.11022218,5567549.45993003,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,41.108972926829736,none,,,,,,,,0,,False,False
,,78196,316316,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,49.0,SLABS,BRUNSWICK ST (GERRISH TO CORNWALLIS),8,-7078260.71848071,5567434.12418615,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,12.59553637432879,low,,,,,,,,6,2.0,True,False
,,78197,316317,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,42.0,SLABS,BEDFORD HWY (FLAMINGO TO FOREST HILL),10,-7085304.75015059,5570712.67678121,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,145.59906393418512,none,,,,,,,,0,,False,False
,,78198,316318,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,31.0,SLABS,BEDFORD HWY (BAYVIEW TO SHERBROOKE),10,-7084260.7230701,5569414.24982983,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,57.0849817795253,none,,,,,,,,0,,False,False
,,78201,316321,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,27.0,SLABS,PURCELLS COVE RD (WILLIAMS LAKE TO MABOU),9,-7080099.49277256,5562441.72470331,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,7.489825536860244,med,TRE151420,Pine,3,True,ROW,,False,5,4.0,True,False
,,78202,316322,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,2.0,SLABS,JOSEPH ST (CHEBUCTO TO CHURCHILL),9,-7081847.7905148,5565561.96490274,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,4.056902998985387,high,TRE148060,Maple,4,True,ROW,,False,8,6.0,True,False
,,78203,316323,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,2.0,SLABS,GOTTINGEN ST (BLOOMFIELD TO ALMON),8,-7079349.94991336,5568043.68324814,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,2.3023583745608334,high,TRE139324,American Elm,8,False,ROW,,False,6,8.0,True,False
,,78204,316324,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,2.0,SLABS,WINDSOR ST (WILLIAMS TO WELSFORD),8,-7079195.66377941,5566395.16690456,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,4.204261428313868,high,TRE135341,Linden,6,True,ROW,,False,3,6.0,True,False
,,78205,316325,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,2.0,SLABS,COGSWELL ST,7,-7078027.25,5566609.893,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,16.82891659830945,low,,,,,,,,1,3.0,False,False
