WORK_ORDER_CAUSE,RESOLUTION,OBJECT_ID,WORK_ORDER_ID,DATE_INITIATED,ACTUAL_START_DATE,ACTUAL_FINISH_DATE,ASSET_TYPE,ASSET_GROUP,DESCRIPTION,PRIORITY,STATUS,STREET_CLASSIFICATION,QUANTITY,UNIT,ADDRESS,DISTRICT,X_COORDINATE,Y_COORDINATE,PROJECT_NAME,OLD_STATUS,NEW_STATUS,NEW_DESCRIPTION
,,81118,319415,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,20,SLABS,BROOKSIDE AVE (WINDMILL TO JAMIESON),5,-7078143.36531715,5569839.124399,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: major collector road, open 3.6 yrs."
,,81119,319416,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,36,SLABS,SPECTACLE LAKE DR (COMMODORE TO END),6,-7077898.87989401,5574664.38755416,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: open 3.6 yrs."
,,81120,319417,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,54,SLABS,PLEASANT ST (CARLETON ST TO CITY LIMITS - ASP SWK),3,-7071635.17770544,5564206.99045109,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: arterial road, open 3.6 yrs, Red Maple at site."
,,81121,319418,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,15,SLABS,MEDFORD ST (CANTERBURY TO SINCLAIR),5,-7075148.17897321,5570536.55602084,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: open 3.6 yrs, under wires English Oak at site."
,,81122,319419,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MINOR COLLECTOR,28,SLABS,OGILVIE ST (TOWER TO YOUNG),7,-7077154.68421057,5562993.2092359,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: open 3.6 yrs, large under wires Norway Maple at site."
,,81123,319420,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,33,SLABS,FARRELL ST (WINDMILL TO CATHERINE),6,-7078652.806,5570858.24,2026 Capital Work,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: open 3.6 yrs."
,,81124,319421,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,28,SLABS,ALDERNEY DR (QUEEN TO OCHTERLONEY),5,-7076508.36850866,5568964.56732544,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: arterial road, open 3.6 yrs."
,,81125,319422,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,12,SLABS,CHAIN LAKE DR WEST (KENT (CIVIC 225) TO OLAND),12,-7088289.8332326,5566358.53360937,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: major collector road, open 3.6 yrs."
,,81126,319423,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,17,SLABS,ST LAURENT PL (CRESTHAVEN TO LILY POND),10,-7087208.94660825,5572029.62685575,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: open 3.6 yrs."
,,81127,319424,2/7/2023 12:00:00 PM,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,6,SLABS,NANTUCKET AVE (WYSE TO GREEN),5,-7077366.31591898,5569712.06989975,2021 AMEC WOOD SIDEWALK AUDIT,Low,Low,"Kept Low: not enough closed history for this work type (61 WOs, need 100) or model not confident (<50%). Of 61 closed 'Unclassified Work Order from WOOD Sidewalk Audit' WOs, HRM rated 0% High / 89% Medium / 11% Low. Factors: arterial road, open 3.6 yrs, under wires Pin Oak at site."
